problem,inst,time_CPU,choices,conflicts,backtracks,backjumps,restarts,jumps,atoms,rules,bodies,equivalences,variables,eliminated,frozen,constraints,nHornClauses,nDualHornClauses,maxClauseSize,maxPositiveClauseSize,maxNegativeClauseSize,numVPosLitH,numVPosLit,numVNegLitH,numVNegLit,maxPosRSizeC,maxPosRSizeNC,numAtomOccC,numAtomOccNC,maxNumAtomOcc,maxNumPosOccA,maxNumNegOccA,dWidth,dEdges,dNodes,iWidth,iEdges,iNodes,rEdges0,rNodes0,rWidths0,rEdges1,rNodes1,rWidths1,rEdges2,rNodes2,rWidths2,rEdges3,rNodes3,rWidths3,rEdges4,rNodes4,rWidths4,rEdges5,rNodes5,rWidths5,rEdges6,rNodes6,rWidths6,rEdges7,rNodes7,rWidths7,rEdges8,rNodes8,rWidths8,rEdges9,rNodes9,rWidths9,problem_width
HamiltonianPath,gryzzles.30.lp,0.016,841,280,5,275,2,275,1782,3322,1700,1641,1448,0,547,3210,680,1030,5,5,1,1034,414,620,0,5,2,5042,820,399,399,1,54,4894,2722,,4894,2722,3251,2722,11,4852,2722,55,4393,2722,40,4865,2722,55,4639,2722,46,4823,2722,53,4880,2722,51,4893,2722,53,4884,2722,53,4571,2722,41,9
HamiltonianPath,gryzzles.31.lp,0.031,1503,649,3,646,5,646,1728,3161,1629,1582,1403,0,530,3049,661,1001,5,5,1,1004,399,605,0,5,2,4841,798,393,393,1,45,4704,2646,,4704,2646,2925,2646,8,4454,2646,37,4379,2646,41,4688,2646,42,4542,2646,44,4690,2646,43,4677,2646,43,4649,2646,42,4652,2646,44,4562,2646,40,9
HamiltonianPath,gryzzles.32.lp,0.031,1610,901,1,900,6,900,1610,3007,1537,1491,1304,0,494,2898,614,926,5,5,1,930,374,556,0,5,2,4558,741,360,360,1,41,4424,2458,,4424,2458,2627,2458,8,4352,2458,35,4324,2458,39,4246,2458,39,4354,2458,37,4358,2458,38,4416,2458,39,4415,2458,42,4409,2458,42,4130,2458,36,7
HamiltonianPath,gryzzles.33.lp,0.016,717,253,1,252,2,252,1523,2737,1419,1450,1198,0,466,2559,584,848,5,5,1,851,347,504,0,5,2,4213,710,357,357,1,29,4104,2340,,4104,2340,2603,2340,8,3872,2340,27,4011,2340,28,3926,2340,27,4011,2340,29,4091,2340,29,4031,2340,30,4075,2340,29,4098,2340,29,3933,2340,30,6
HamiltonianPath,gryzzles.37.lp,0.047,2843,1286,1,1285,10,1285,1802,3319,1707,1654,1463,0,553,3202,689,1043,5,5,1,1046,417,629,0,5,2,5067,831,408,408,1,40,4922,2758,,4922,2758,3051,2758,9,4658,2758,35,4562,2758,31,4800,2758,35,4856,2758,40,4852,2758,38,4919,2758,41,4922,2758,40,4914,2758,40,4749,2758,38,8
HamiltonianPath,gryzzles.39.lp,0.016,831,272,0,272,2,272,1622,3014,1546,1509,1308,0,498,2891,620,930,5,5,1,932,376,556,0,5,2,4582,747,366,366,1,35,4450,2482,,4450,2482,3112,2482,10,4036,2482,33,4330,2482,33,4177,2482,30,4431,2482,35,4446,2482,35,4346,2482,34,4353,2482,34,4362,2482,35,4274,2482,33,6
HamiltonianPath,gryzzles.40.lp,0.031,1502,839,2,837,6,837,1513,2872,1460,1385,1239,0,465,2796,575,881,5,5,1,885,354,531,0,5,2,4322,694,333,333,1,35,4190,2304,,4190,2304,2833,2304,11,3781,2304,29,4033,2304,36,4109,2304,33,4101,2304,36,4041,2304,36,4043,2304,34,4184,2304,37,4078,2304,33,4161,2304,37,7
HamiltonianPath,gryzzles.41,0.016,905,329,0,329,2,329,1474,3624,2217,2673,946,0,541,2646,942,1744,3,3,1,139,139,138,138,3,3,3546,5714,1876,1876,2,23,8724,4027,,8724,4027,7102,4027,13,8724,4027,23,8724,4027,23,8724,4027,23,8724,4027,23,8724,4027,23,8724,4027,23,8724,4027,23,8705,4027,23,8724,4027,23,
HamiltonianPath,gryzzles.41.lp,0.016,1398,563,2,561,5,561,1732,3156,1628,1596,1399,0,531,3029,663,997,5,5,1,1000,399,601,0,5,2,4841,801,396,396,1,46,4706,2654,,4706,2654,2954,2654,11,4457,2654,39,4539,2654,46,4619,2654,41,4583,2654,43,4653,2654,43,4693,2654,48,4677,2654,44,4706,2654,46,4424,2654,38,9
HamiltonianPath,gryzzles.42.lp,0.016,575,165,4,161,1,161,1606,2833,1479,1523,1262,0,491,2643,618,896,5,5,1,898,364,534,0,5,2,4404,750,381,381,1,31,4294,2474,,4294,2474,2837,2474,7,4021,2474,26,4096,2474,27,4192,2474,30,4203,2474,28,4197,2474,28,4268,2474,30,4243,2474,30,4276,2474,31,4143,2474,28,6
